Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
1.616168, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.616168, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.616005, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.616005, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.616005, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.616005, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615852, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615852, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615852, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615756, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615756, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615756, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615756, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615703, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615703, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615703, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615618, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615618, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615618, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615618, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615731, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615731, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615731, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615641, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615641, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615641, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615641, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.5, 355.6)
1.615502, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.6, 355.6)
1.615502, (338.5, 9.5, 0.0), (341.9, 12.7, 0.0), (0.0, 0.0, 0.0), (-3.5, -5.6, 355.6)
1.657389, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657349, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657349, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657349, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657209, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657209, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657209, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657209, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657132, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657132, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657132, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657265, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.657265, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656984, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656984, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656984, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656798, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656798, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656798, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656798, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656754, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656754, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656754, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656653, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656653, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656653, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656653, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656607, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.7)
1.656607, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.7)
1.656607, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.7)
1.656861, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656861, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656861, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656681, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656681, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656681, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656681, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.65656, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.65656, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.65656, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.656484, (343.5, 10.9, 0.0), (343.8, 13.1, 0.0), (0.0, 0.0, 0.0), (-0.4, -4.4, 354.6)
1.682541, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682541, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682541, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682456, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682456, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682456, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682325, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682325, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682325, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682325, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.682525, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682525, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682525, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682443, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682443, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.682443, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.8)
1.68208, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.68208, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.68208, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
1.68208, (345.9, 12.0, 0.0), (350.4, 12.6, 0.0), (0.0, 0.0, 0.0), (-4.6, -2.8, 353.9)
