Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
2.020945, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020945, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020945, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020945, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.02081, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.02081, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.02081, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020271, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
13.29966, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.4), (0.0, 0.0, 0.0)
13.29966, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.4), (0.0, 0.0, 0.0)
13.29996, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.29996, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.29996, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.29996, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30177, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30177, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30177, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30247, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30247, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30247, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30282, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30282, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30282, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30282, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30183, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30183, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.30183, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.3003, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.3003, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.3003, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.3003, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.29734, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
13.29734, (338.1, 330.5, 0.0), (315.0, 341.5, 0.0), (-23.1, 11.3, 6.5), (0.0, 0.0, 0.0)
1.794703, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.4), (0.0, 0.0, 0.0)
1.794996, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.4), (0.0, 0.0, 0.0)
1.794996, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.4), (0.0, 0.0, 0.0)
1.794996, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.4), (0.0, 0.0, 0.0)
1.794996, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.4), (0.0, 0.0, 0.0)
1.795048, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795048, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795048, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795405, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795405, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795405, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795432, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795432, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795432, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795432, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795423, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795423, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795423, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795734, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795734, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.79574, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.79574, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.79574, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795807, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795807, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795807, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.795807, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.796068, (339.7, 4.5, 0.0), (340.5, 358.3, 0.0), (0.8, -4.0, 354.3), (0.0, 0.0, 0.0)
1.78876, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.78876, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.788852, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.788852, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.788852, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.788852, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.788869, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.788869, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.788869, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789231, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789231, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789231, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789569, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789569, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789569, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789569, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789812, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789812, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.789812, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.790274, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.790274, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.790274, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.790274, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.790674, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.790674, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.790674, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.790964, (339.8, 4.4, 0.0), (339.9, 358.7, 0.0), (0.1, -3.6, 354.1), (0.0, 0.0, 0.0)
1.79396, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.79396, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.79396, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.794343, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.794343, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.794343, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.794636, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.794636, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.794636, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.7948, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.7948, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
1.7948, (339.7, 4.3, 0.0), (340.2, 358.6, 0.0), (0.5, -3.6, 354.2), (0.0, 0.0, 0.0)
