Depth,Target X,Target Y,Ofsset X, Offset Y
1.3,0.2359774,-0.3213717,0.00957197,0.000797665
1.3,0.1865073,-0.2143637,0.006381315,0.006381314
1.3,-0.2039385,0.2910216,0.008774305,0.006381314
1.3,0.3968556,0.6595049,0.03190657,-0.004785985
1.3,0.277232,-0.2458326,0.01914394,0.003190657
1.3,0.3007762,0.3880801,0.02871591,-0.002392992
1.3,-0.3409227,-0.377496,0.04147853,-0.02313226
1.3,-0.05395269,0.06350088,0.04706217,-0.01356029
1.3,-0.266885,0.2420665,0.03509722,-0.008774306
1.3,-0.3091305,-0.4774036,0.02552525,-0.02392993
1.3,0.7514569,-0.1730638,-0.008774309,-0.007178978
1.3,0.3480323,-0.3467366,0.009571965,-0.007178978
1.3,-0.2290667,-0.1944386,0.02951358,-0.01834627
1.3,0.1835494,-0.2259134,0.009571966,-0.0111673
1.3,-0.62854,0.2946736,0.01276262,-0.0111673
1.3,0.1880842,-0.9345822,0.04227619,-0.01196496
1.3,0.1714452,-0.314617,0.02871592,0.001595329
1.3,-0.8726044,-0.3426774,0.009571973,0.01834627
1.3,0.2150991,-0.7694201,0.02871592,-0.005583649
1.3,0.1971612,0.1852816,0.01754862,0.002392994
1.3,0.2048838,0.4960995,0.02313227,0.002392994
1.3,0.2735761,-0.8495588,0.008774301,0.007178977
1.3,-0.1697025,-0.2069129,0.01834627,-0.000797665
1.3,-0.9774733,-0.5479865,-0.006381313,0.01435795
1.3,0.3869774,-0.1780515,0.01435795,-0.004785987
1.3,-0.2119244,-0.6261368,0.03749021,-0.01595328
1.3,-0.2760769,0.2129721,0.02871591,-0.007178978
1.3,-0.2899628,-0.7143722,0.02871591,-0.007178978
1.3,0.1985345,-0.2656828,0.01675095,0.004785987
1.3,0.06894398,-0.2529778,0.02552526,5.82E-10
1.3,-0.1687261,0.2225931,0.02552526,-0.000797664
1.3,-0.3464683,0.2772751,0.0247276,0.000797665
1.3,-0.2394037,0.2076962,-0.000797664,0.002392991
1.3,-0.2264185,0.663054,0.01675095,0.006381312
1.3,0.3581058,-0.2773454,-0.01196496,0.003190655
1.3,0.3812404,-0.3712144,-0.02632292,0.003190655
1.3,-0.222765,-0.1982591,0.01356029,-0.004785987
1.3,-0.2830346,-0.18163,0.005583653,0.000797663
1.3,0.6576729,0.3289694,0.0111673,-0.002392994
1.3,0.7214608,0.2211825,0.01276263,-1.51E-09
1.3,0.2575673,0.2705088,0.01036964,-1.51E-09
1.3,-0.2188406,0.1798037,0.02712059,-1.51E-09
1.3,0.2009867,0.250905,0.01914394,-1.51E-09
1.3,0.3010205,0.2864078,0.02632293,-0.003190658
1.3,-0.5797181,0.1708508,0.03749022,0.001595327
1.3,-0.3407021,0.3316161,0.0422762,0.007976641
1.3,-0.2103808,-0.3595797,0.02712059,-1.51E-09
1.3,0.02970123,0.7241688,0.02951358,0.002392991
1.3,0.1819947,0.3765382,0.02871592,0.002392991
1.3,-0.176944,-0.3056264,0.02951358,-0.007976644
1.3,0.2246308,-0.572928,0.02153694,-0.007976644
1.3,-0.3832576,0.198733,0.03110891,-0.000797665
